Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country
Junaid Siddique,2007-2009,3,3,0,125,71,41.66,76,164.47,0,1,0,11,6,Bangladesh
Mahmudullah,2007-2016,22,18,4,194,49*,13.85,188,103.19,0,0,2,14,5,Bangladesh
Mashrafe Mortaza,2007-2016,23,16,4,164,33*,13.66,122,134.42,0,0,1,14,9,Bangladesh
Mohammad Ashraful,2007-2012,11,11,0,212,65,19.27,153,138.56,0,2,1,21,8,Bangladesh
Mohammad Mithun,2016-2016,6,4,0,37,23,9.25,46,80.43,0,0,0,2,1,Bangladesh
Mominul Haque,2014-2014,2,1,0,16,16,16.00,19,84.21,0,0,0,2,0,Bangladesh
Mushfiqur Rahim,2007-2016,25,20,4,258,47,16.12,247,104.45,0,0,2,25,4,Bangladesh
Mustafizur Rahman,2016-2016,3,2,0,6,6,3.00,3,200.00,0,0,1,0,1,Bangladesh
Nadif Chowdhury,2007-2007,2,2,0,17,12,8.50,16,106.25,0,0,0,1,0,Bangladesh
Naeem Islam,2009-2010,4,4,1,52,28,17.33,41,126.82,0,0,0,1,4,Bangladesh
Nasir Hossain,2012-2016,9,7,1,136,50,22.66,122,111.47,0,1,0,12,2,Bangladesh
Nazimuddin,2007-2007,4,4,0,12,11,3.00,23,52.17,0,0,2,2,0,Bangladesh
Raqibul Hasan,2009-2009,2,2,0,29,16,14.50,40,72.50,0,0,0,1,0,Bangladesh
Rubel Hossain,2009-2014,3,1,0,0,0,0.00,3,0.00,0,0,1,0,0,Bangladesh
Sabbir Rahman,2014-2016,11,10,2,171,44,21.37,146,117.12,0,0,0,18,5,Bangladesh
Saqlain Sajib,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
Shafiul Islam,2010-2012,4,1,0,16,16,16.00,13,123.07,0,0,0,1,1,Bangladesh
Shahadat Hossain,2009-2009,1,1,1,0,0*,-,0,-,0,0,0,0,0,Bangladesh
Shamsur Rahman,2014-2014,2,2,0,4,4,2.00,13,30.76,0,0,1,0,0,Bangladesh
Shakib Al Hasan,2007-2016,25,25,5,567,84,28.35,440,128.86,0,3,1,49,20,Bangladesh
Shuvagata Hom,2016-2016,3,3,2,29,16*,29.00,28,103.57,0,0,0,3,1,Bangladesh
Sohag Gazi,2014-2014,3,1,0,11,11,11.00,20,55.00,0,0,0,0,0,Bangladesh
Sohrawordi Shuvo,2010-2010,1,1,1,1,1*,-,3,33.33,0,0,0,0,0,Bangladesh
Soumya Sarkar,2016-2016,7,7,0,75,21,10.71,85,88.23,0,0,1,8,1,Bangladesh
Syed Rasel,2007-2007,5,3,1,7,6,3.50,9,77.77,0,0,0,1,0,Bangladesh
Tamim Iqbal,2007-2016,23,23,2,514,103*,24.47,453,113.46,1,1,2,52,15,Bangladesh
Taskin Ahmed,2014-2016,5,-,-,-,-,-,-,-,-,-,-,-,-,Bangladesh
Ziaur Rahman,2012-2014,5,5,2,24,14*,8.00,32,75.00,0,0,2,0,1,Bangladesh
MM Ali,2014-2016,10,8,2,105,41*,17.50,88,119.31,0,0,2,12,3,England
JM Anderson,2007-2009,9,2,1,0,0*,0.00,1,0.00,0,0,1,0,0,England
JM Bairstow,2012-2012,5,5,1,38,18,9.50,46,82.60,0,0,0,4,1,England
RS Bopara,2009-2014,11,11,2,239,55,26.55,208,114.90,0,1,0,20,3,England
TT Bresnan,2010-2014,13,8,4,81,23*,20.25,56,144.64,0,0,0,8,3,England
DR Briggs,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,England
SCJ Broad,2007-2014,26,11,5,36,10*,6.00,29,124.13,0,0,0,2,1,England
