Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,Wkts,BBI,bowling_Ave,Econ,bowling_SR,4,5,Ct,St,num_years,matched_name,batsman_points,bowler_points,batsman_points_per_year,bowler_points_per_year
PW Borren,2009-2016,12,11,0,187,49,17.00,158,118.35,0,0,1,22,5,Netherlands,18.0,0,4,1/9,33.25,7.38,27.0,0,0,7,0,5,Peter Borren,288,20,57.6,4.0
Mudassar Bukhari,2014-2016,10,6,3,44,14*,14.66,43,102.32,0,0,0,2,1,Netherlands,26.4,0,3,3/12,60.33,6.78,53.3,0,0,2,0,2,Mudassar Bukhari,61,15,30.5,7.5
BN Cooper,2014-2016,10,8,4,69,20,17.25,74,93.24,0,0,0,6,1,Netherlands,-,-,-,-,-,-,-,-,-,4,0,2,Ben Cooper,91,0,45.5,0.0
TLW Cooper,2014-2016,10,9,3,246,72*,41.00,188,130.85,0,1,1,24,10,Netherlands,7.0,0,3,2/18,20.33,8.71,14.0,0,0,3,0,2,Tom Cooper,388,15,194.0,7.5
SJ Myburgh,2014-2016,10,9,0,280,63,31.11,192,145.83,0,3,2,36,13,Netherlands,-,-,-,-,-,-,-,-,-,2,0,2,Stephan Myburgh,486,0,243.0,0.0
PM Seelaar,2009-2016,12,4,1,13,7*,4.33,17,76.47,0,0,0,1,0,Netherlands,19.0,0,5,2/9,29.00,7.63,22.8,0,0,7,0,5,Pieter Seelaar,14,25,2.8,5.0
LV van Beek,2014-2016,8,4,1,7,4*,2.33,15,46.66,0,0,0,0,0,Netherlands,17.0,0,5,3/9,32.00,9.41,20.4,0,0,3,0,2,Logan van Beek,5,25,2.5,12.5
T van der Gugten,2014-2016,10,2,1,8,8,8.00,12,66.66,0,0,0,0,0,Netherlands,30.0,0,13,3/21,15.92,6.90,13.8,0,0,1,0,2,Timm van der Gugten,6,65,3.0,32.5
KJ Coetzer,2009-2016,5,5,1,138,42,34.50,97,142.26,0,0,0,10,6,Scotland,-,-,-,-,-,-,-,-,-,3,0,5,NA,209,0,41.8,0.0
GM Hamilton,2007-2009,4,2,0,7,5,3.50,10,70.00,0,0,0,1,0,Scotland,-,-,-,-,-,-,-,-,-,1,0,2,Hamilton Masakadza,8,0,4.0,0.0
RM Haq,2007-2009,3,2,0,29,15,14.50,51,56.86,0,0,0,0,0,Scotland,8.0,0,4,2/25,18.50,9.25,12.0,0,0,2,0,2,NA,27,20,13.5,10.0
NFI McCallum,2007-2009,4,2,0,8,8,4.00,18,44.44,0,0,1,1,0,Scotland,-,-,-,-,-,-,-,-,-,0,0,2,NA,9,0,4.5,0.0
CS MacLeod,2009-2016,3,2,0,2,2,1.00,6,33.33,0,0,1,0,0,Scotland,5.0,0,0,-,-,11.20,-,0,0,2,0,5,NA,0,0,0.0,0.0
NS Poonia,2007-2009,4,3,0,31,27,10.33,22,140.90,0,0,1,2,1,Scotland,-,-,-,-,-,-,-,-,-,0,0,2,NA,48,0,24.0,0.0
CJO Smith,2007-2009,4,3,0,11,11,3.66,9,122.22,0,0,2,2,0,Scotland,-,-,-,-,-,-,-,-,-,1,2,2,NA,22,0,11.0,0.0
RR Watson,2007-2009,4,3,0,33,27,11.00,18,183.33,0,0,0,7,0,Scotland,4.0,0,2,1/4,20.00,10.00,12.0,0,0,0,0,2,Shane Watson,64,10,32.0,5.0
DF Watts,2007-2009,3,1,0,46,46,46.00,35,131.42,0,0,0,9,0,Scotland,-,-,-,-,-,-,-,-,-,2,0,2,NA,78,0,39.0,0.0
CM Wright,2007-2009,3,1,0,14,14,14.00,18,77.77,0,0,0,0,0,Scotland,5.0,0,4,3/29,12.25,9.80,7.5,0,0,1,0,2,Luke Wright,12,20,6.0,10.0
