Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country
Anamul Haque,2014-2014,7,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh
Arafat Sunny,2016-2016,2,2,6.0,0,44,2,2/34,22.00,7.33,18.0,0,0,1,0,Bangladesh
Elias Sunny,2012-2012,1,1,3.0,0,36,0,-,-,12.00,-,0,0,1,0,Bangladesh
Farhad Reza,2007-2014,6,5,9.0,0,87,2,1/2,43.50,9.66,27.0,0,0,1,0,Bangladesh
Imrul Kayes,2010-2010,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh
Jahurul Islam,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,1,0,Bangladesh
Junaid Siddique,2007-2009,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh
Mahmudullah,2007-2016,22,15,37.0,1,256,8,2/13,32.00,6.91,27.7,0,0,8,0,Bangladesh
Mashrafe Mortaza,2007-2016,23,22,75.4,0,601,13,2/28,46.23,7.94,34.9,0,0,2,0,Bangladesh
Mohammad Ashraful,2007-2012,11,5,13.0,0,118,2,1/24,59.00,9.07,39.0,0,0,1,0,Bangladesh
Mohammad Mithun,2016-2016,6,-,-,-,-,-,-,-,-,-,-,-,3,0,Bangladesh
Mominul Haque,2014-2014,2,1,1.0,0,14,0,-,-,14.00,-,0,0,0,0,Bangladesh
Mushfiqur Rahim,2007-2016,25,-,-,-,-,-,-,-,-,-,-,-,10,9,Bangladesh
Mustafizur Rahman,2016-2016,3,3,12.0,0,86,9,5/22,9.55,7.16,8.0,0,1,0,0,Bangladesh
Nadif Chowdhury,2007-2007,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh
Naeem Islam,2009-2010,4,3,7.0,0,59,2,2/32,29.50,8.42,21.0,0,0,0,0,Bangladesh
Nasir Hossain,2012-2016,9,2,5.0,0,46,1,1/24,46.00,9.20,30.0,0,0,4,0,Bangladesh
Nazimuddin,2007-2007,4,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh
Raqibul Hasan,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,1,0,Bangladesh
Rubel Hossain,2009-2014,3,3,8.2,0,87,1,1/49,87.00,10.44,50.0,0,0,1,0,Bangladesh
Sabbir Rahman,2014-2016,11,5,6.0,0,32,3,1/3,10.66,5.33,12.0,0,0,5,0,Bangladesh
Saqlain Sajib,2016-2016,1,1,3.3,0,40,0,-,-,11.42,-,0,0,0,0,Bangladesh
