Player,Mat,Inns,Dis,Ct,St,Max Dis Inns,Dis/Inn,country,year
KC Sangakkara,10,10,17,15,2,4 (3ct 1st),1.700,SriLanka,2003
R Dravid,11,11,16,15,1,3 (3ct 0st),1.454,India,2003
KO Otieno,9,8,12,8,4,4 (3ct 1st),1.500,Kenya,2003
MV Boucher,6,6,11,11,0,2 (2ct 0st),1.833,SouthAfrica,2003
A Bagai,6,6,10,8,2,3 (3ct 0st),1.666,Canada,2003
BB McCullum,7,7,9,9,0,3 (3ct 0st),1.285,NewZealand,2003
Rashid Latif,6,5,8,7,1,3 (3ct 0st),1.600,Pakistan,2003
RD Jacobs,6,6,8,7,1,3 (3ct 0st),1.333,WestIndies,2003
AJ Stewart,5,5,7,6,1,3 (3ct 0st),1.400,England,2003
T Taibu,8,8,7,7,0,2 (2ct 0st),0.875,Zimbabwe,2003
J Smits,6,6,5,4,1,2 (2ct 0st),0.833,Netherlands,2003
M van Schoor,5,5,4,4,0,2 (2ct 0st),0.800,Namibia,2003
JP Maher,2,1,3,3,0,3 (3ct 0st),3.000,Australia,2003
DO Obuya,4,1,2,2,0,2 (2ct 0st),2.000,Kenya,2003
Khaled Mashud,6,6,2,2,0,1 (1ct 0st),0.333,Bangladesh,2003
M Karg,3,1,1,1,0,1 (1ct 0st),1.000,Namibia,2003
L Vincent,4,1,0,0,0,0,0.000,NewZealand,2003
AC Gilchrist,11,11,17,12,5,4 (4ct 0st),1.545,Australia,2007
KC Sangakkara,11,11,15,11,4,3 (3ct 0st),1.363,SriLanka,2007
BB McCullum,10,10,14,13,1,4 (4ct 0st),1.400,NewZealand,2007
D Ramdin,9,9,13,13,0,4 (4ct 0st),1.444,WestIndies,2007
PA Nixon,9,9,9,7,2,2 (2ct 0st),1.000,England,2007
NJ O'Brien,9,9,9,9,0,2 (2ct 0st),1.000,Ireland,2007
MV Boucher,10,10,9,9,0,2 (2ct 0st),0.900,SouthAfrica,2007
MS Dhoni,3,3,7,5,2,3 (3ct 0st),2.333,India,2007
