Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,Country,Role
SR Tendulkar,8,7,1,283,84,47.16,334,84.73,0,3,0,24,1,India,1992,41.0,0,180,2,1/35,90.00,4.39,123.0,0,0,2,0,INDIA,Batsman
SR Tendulkar,7,7,1,523,137,87.16,609,85.87,2,3,0,57,7,India,1996,36.0,1,149,2,2/34,74.50,4.13,108.0,0,0,2,0,INDIA,Batsman
SR Tendulkar,7,7,1,253,140*,42.16,281,90.03,1,0,1,30,3,India,1999,9.0,0,63,0,-,-,7.00,-,0,0,2,0,INDIA,Batsman
SR Tendulkar,11,11,0,673,152,61.18,754,89.25,1,6,0,75,4,India,2003,18.0,0,77,2,2/28,38.50,4.27,54.0,0,0,4,0,INDIA,Batsman
SR Tendulkar,3,3,1,64,57*,32.00,58,110.34,0,1,1,3,4,India,2007,12.0,0,49,2,1/1,24.50,4.08,36.0,0,0,0,0,INDIA,Batsman
SR Tendulkar,9,9,0,482,120,53.55,524,91.98,2,2,0,52,8,India,2011,4.0,0,21,0,-,-,5.25,-,0,0,2,0,INDIA,Batsman
ME Waugh,5,5,1,145,66*,36.25,144,100.69,0,1,0,8,2,Australia,1992,5.0,0,40,0,-,-,8.00,-,0,0,4,0,AUS,Batsman
ME Waugh,7,7,1,484,130,80.66,563,85.96,3,1,1,40,6,Australia,1996,48.0,1,229,5,3/38,45.80,4.77,57.6,0,0,1,0,AUS,Batsman
ME Waugh,10,10,1,375,104,41.66,492,76.21,1,2,1,39,1,Australia,1999,9.0,0,44,0,-,-,4.88,-,0,0,6,0,AUS,Batsman
MG Bevan,7,5,1,125,69,31.25,179,69.83,0,1,0,6,1,Australia,1996,32.0,1,156,3,2/35,52.00,4.87,64.0,0,0,3,0,AUS,Batsman
MG Bevan,10,8,3,264,65,52.80,391,67.51,0,2,0,18,2,Australia,1999,18.0,1,81,1,1/26,81.00,4.50,108.0,0,0,2,0,AUS,Batsman
MG Bevan,9,5,2,148,74*,49.33,264,56.06,0,2,1,11,2,Australia,2003,-,-,-,-,-,-,-,-,-,-,1,0,AUS,Batsman
DJ Cullinan,6,6,2,255,69,63.75,305,83.60,0,2,0,16,3,SouthAfrica,1996,2.0,0,7,0,-,-,3.50,-,0,0,3,0,SA,Batsman
DJ Cullinan,9,9,1,216,50,27.00,391,55.24,0,1,1,21,3,SouthAfrica,1999,-,-,-,-,-,-,-,-,-,-,8,0,SA,Batsman
DW Fleming,6,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Australia,1996,45.2,3,221,12,5/36,18.41,4.87,22.6,0,1,2,0,AUS,Bowler
DW Fleming,10,3,2,12,8*,12.00,16,75.00,0,0,1,0,0,Australia,1999,88.0,9,362,14,3/57,25.85,4.11,37.7,0,0,3,0,AUS,Bowler
SP Fleming,6,6,0,193,66,32.16,277,69.67,0,1,0,20,0,NewZealand,1996,2.0,0,8,1,1/8,8.00,4.00,12.0,0,0,3,0,NZ,Batsman
SP Fleming,9,9,1,208,69,26.00,338,61.53,0,1,1,23,0,NewZealand,1999,-,-,-,-,-,-,-,-,-,-,3,0,NZ,Batsman
SP Fleming,8,8,1,321,134*,45.85,374,85.82,1,0,0,51,2,NewZealand,2003,-,-,-,-,-,-,-,-,-,-,4,0,NZ,Batsman
SP Fleming,10,10,1,353,102*,39.22,409,86.30,1,3,1,40,9,NewZealand,2007,-,-,-,-,-,-,-,-,-,-,2,0,NZ,Batsman
D Gough,6,4,2,66,26*,33.00,70,94.28,0,0,0,8,0,England,1996,51.0,4,238,4,2/48,59.50,4.66,76.5,0,0,1,0,ENG,Bowler
D Gough,5,2,0,29,19,14.50,59,49.15,0,0,0,2,0,England,1999,48.4,4,192,11,4/34,17.45,3.94,26.5,1,0,1,0,ENG,Bowler
JH Kallis,5,4,2,63,26,31.50,97,64.94,0,0,0,3,0,SouthAfrica,1996,13.0,1,57,0,-,-,4.38,-,0,0,1,0,SA,All Rounder
JH Kallis,8,8,2,312,96,52.00,470,66.38,0,4,2,18,4,SouthAfrica,1999,66.0,5,260,8,3/26,32.50,3.93,49.5,0,0,1,0,SA,All Rounder
JH Kallis,6,4,0,63,33,15.75,89,70.78,0,0,0,4,1,SouthAfrica,2003,41.0,3,193,3,3/41,64.33,4.70,82.0,0,0,2,0,SA,All Rounder
JH Kallis,10,9,3,485,128*,80.83,578,83.91,1,3,0,43,7,SouthAfrica,2007,61.0,1,271,5,2/36,54.20,4.44,73.2,0,0,3,0,SA,All Rounder
