Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,Country,Role
CA Walsh,6,3,1,13,9*,6.50,20,65.00,0,0,1,3,0,WestIndies,1996,55.3,9,210,7,3/46,30.00,3.78,47.5,0,0,2,0,WI,Bowler
CA Walsh,5,2,1,6,6,6.00,12,50.00,0,0,0,1,0,WestIndies,1999,47.0,8,108,11,4/25,9.81,2.29,25.6,1,0,0,0,WI,Bowler
Wasim Akram,7,6,0,85,39,14.16,80,106.25,0,0,1,3,4,Pakistan,1987,63.2,1,295,7,3/45,42.14,4.65,54.2,0,0,1,0,PAK,All Rounder
Wasim Akram,10,8,2,62,33,10.33,61,101.63,0,0,1,7,0,Pakistan,1992,89.4,2,338,18,4/32,18.77,3.76,29.8,1,0,1,0,PAK,All Rounder
Wasim Akram,5,2,2,60,32*,-,51,117.64,0,0,0,5,0,Pakistan,1996,33.2,3,135,3,2/25,45.00,4.05,66.6,0,0,1,0,PAK,All Rounder
Wasim Akram,10,9,2,148,43,21.14,160,92.50,0,0,1,11,6,Pakistan,1999,90.4,6,342,15,4/40,22.80,3.77,36.2,1,0,5,0,PAK,All Rounder
Wasim Akram,6,5,2,71,33,23.66,69,102.89,0,0,0,10,1,Pakistan,2003,47.3,4,201,12,5/28,16.75,4.23,23.7,0,1,0,0,PAK,All Rounder
SR Waugh,8,8,5,167,45,55.66,171,97.66,0,0,0,12,4,Australia,1987,63.3,4,288,11,2/36,26.18,4.53,34.6,0,0,3,0,AUS,All Rounder
SR Waugh,8,7,0,187,55,26.71,239,78.24,0,1,0,12,1,Australia,1992,60.4,1,277,8,3/36,34.62,4.56,45.5,0,0,2,0,AUS,All Rounder
SR Waugh,7,7,2,226,82,45.20,285,79.29,0,3,0,14,2,Australia,1996,31.0,2,157,5,2/22,31.40,5.06,37.2,0,0,3,0,AUS,All Rounder
SR Waugh,10,8,3,398,120*,79.60,512,77.73,1,2,0,35,6,Australia,1999,18.0,0,92,3,2/8,30.66,5.11,36.0,0,0,6,0,AUS,All Rounder
CEL Ambrose,7,4,1,33,15*,11.00,42,78.57,0,0,0,2,1,WestIndies,1992,68.0,6,235,7,2/24,33.57,3.45,58.2,0,0,1,0,WI,Bowler
CEL Ambrose,6,4,1,13,8,4.33,31,41.93,0,0,0,1,0,WestIndies,1996,56.3,9,170,10,3/28,17.00,3.00,33.9,0,0,0,0,WI,Bowler
CEL Ambrose,4,2,0,2,1,1.00,16,12.50,0,0,0,0,0,WestIndies,1999,40.0,5,94,7,3/31,13.42,2.35,34.2,0,0,0,0,WI,Bowler
CL Cairns,5,3,3,21,16*,-,18,116.66,0,0,0,3,0,NewZealand,1992,25.0,1,161,2,2/43,80.50,6.44,75.0,0,0,5,0,NZ,All Rounder
CL Cairns,6,6,0,139,52,23.16,150,92.66,0,1,0,11,5,NewZealand,1996,43.5,4,207,2,1/31,103.50,4.72,131.5,0,0,5,0,NZ,All Rounder
CL Cairns,9,8,3,182,60,36.40,243,74.89,0,1,1,12,5,NewZealand,1999,69.5,4,333,12,3/19,27.75,4.76,34.9,0,0,2,0,NZ,All Rounder
CL Cairns,8,7,1,223,54,37.16,273,81.68,0,1,0,15,6,NewZealand,2003,8.0,0,54,2,2/16,27.00,6.75,24.0,0,0,4,0,NZ,All Rounder
WJ Cronje,8,6,3,102,47*,34.00,148,68.91,0,0,0,6,0,SouthAfrica,1992,20.0,1,85,2,2/17,42.50,4.25,60.0,0,0,3,0,SA,All Rounder
WJ Cronje,6,6,1,276,78,55.20,316,87.34,0,2,0,20,6,SouthAfrica,1996,22.0,1,87,2,2/20,43.50,3.95,66.0,0,0,3,0,SA,All Rounder
WJ Cronje,9,8,0,98,39,12.25,127,77.16,0,0,2,7,2,SouthAfrica,1999,32.0,0,157,4,2/37,39.25,4.90,48.0,0,0,4,0,SA,All Rounder
AA Donald,9,1,0,3,3,3.00,6,50.00,0,0,0,0,0,SouthAfrica,1992,78.0,5,329,13,3/34,25.30,4.21,36.0,0,0,1,0,SA,Bowler
AA Donald,4,-,-,-,-,-,-,-,-,-,-,-,-,SouthAfrica,1996,34.0,0,126,8,3/21,15.75,3.70,25.5,0,0,0,0,SA,Bowler
AA Donald,9,3,1,10,7,5.00,34,29.41,0,0,1,0,0,SouthAfrica,1999,82.0,7,325,16,4/17,20.31,3.96,30.7,2,0,2,0,SA,Bowler
AA Donald,3,1,1,0,0*,-,0,-,0,0,0,0,0,SouthAfrica,2003,24.5,2,133,1,1/52,133.00,5.35,149.0,0,0,0,0,SA,Bowler
CZ Harris,9,6,1,44,14,8.80,78,56.41,0,0,0,3,0,NewZealand,1992,72.1,4,342,16,3/15,21.37,4.73,27.0,0,0,4,0,NZ,All Rounder
CZ Harris,4,4,0,156,130,39.00,173,90.17,1,0,0,14,4,NewZealand,1996,33.0,1,135,5,3/24,27.00,4.09,39.6,0,0,1,0,NZ,All Rounder
CZ Harris,9,4,1,115,42,38.33,205,56.09,0,0,0,3,0,NewZealand,1999,54.1,2,255,9,4/7,28.33,4.70,36.1,1,0,2,0,NZ,All Rounder
CZ Harris,6,6,3,116,38*,38.66,170,68.23,0,0,0,10,0,NewZealand,2003,35.0,3,129,2,1/19,64.50,3.68,105.0,0,0,0,0,NZ,All Rounder
IA Healy,7,6,2,51,16,12.75,68,75.00,0,0,1,2,1,Australia,1992,-,-,-,-,-,-,-,-,-,-,9,0,AUS,Wicket Keeper
IA Healy,7,5,0,59,31,11.80,56,105.35,0,0,0,4,0,Australia,1996,-,-,-,-,-,-,-,-,-,-,9,3,AUS,Wicket Keeper
GA Hick,10,9,1,264,83,33.00,334,79.04,0,3,1,24,2,England,1992,14.2,0,70,2,2/44,35.00,4.88,43.0,0,0,5,0,ENG,Batsman
GA Hick,5,5,1,212,104*,53.00,285,74.38,1,1,0,16,2,England,1996,20.0,0,119,3,2/45,39.66,5.95,40.0,0,0,1,0,ENG,Batsman
GA Hick,5,5,2,159,73*,53.00,239,66.52,0,2,1,13,2,England,1999,3.0,0,19,0,-,-,6.33,-,0,0,6,0,ENG,Batsman
AC Hudson,8,8,0,296,79,37.00,467,63.38,0,3,0,32,0,SouthAfrica,1992,-,-,-,-,-,-,-,-,-,-,0,0,SA,Batsman
AC Hudson,4,4,0,275,161,68.75,271,101.47,1,1,0,32,4,SouthAfrica,1996,-,-,-,-,-,-,-,-,-,-,2,0,SA,Batsman
ST Jayasuriya,6,5,0,74,32,14.80,82,90.24,0,0,0,5,2,SriLanka,1992,6.0,0,44,0,-,-,7.33,-,0,0,4,0,SL,All Rounder
ST Jayasuriya,6,6,0,221,82,36.83,168,131.54,0,2,0,29,8,SriLanka,1996,51.0,1,231,7,3/12,33.00,4.52,43.7,0,0,5,0,SL,All Rounder
ST Jayasuriya,5,5,0,82,39,16.40,140,58.57,0,0,0,9,1,SriLanka,1999,30.5,2,168,3,1/28,56.00,5.44,61.6,0,0,1,0,SL,All Rounder
ST Jayasuriya,10,10,2,321,120,40.12,420,76.42,1,2,0,30,2,SriLanka,2003,64.0,1,315,10,3/30,31.50,4.92,38.4,0,0,5,0,SL,All Rounder
ST Jayasuriya,11,11,1,467,115,46.70,475,98.31,2,2,0,47,14,SriLanka,2007,67.2,0,302,7,3/38,43.14,4.48,57.7,0,0,3,0,SL,All Rounder
BC Lara,8,8,1,333,88*,47.57,408,81.61,0,4,1,34+,1+,WestIndies,1992,-,-,-,-,-,-,-,-,-,-,2,0,WI,Batsman
BC Lara,6,6,1,269,111,53.80,256,105.07,1,1,0,33,2,WestIndies,1996,-,-,-,-,-,-,-,-,-,-,2,0,WI,Batsman
BC Lara,5,5,1,106,36,26.50,120,88.33,0,0,0,13,2,WestIndies,1999,-,-,-,-,-,-,-,-,-,-,5,0,WI,Batsman
BC Lara,6,6,0,248,116,41.33,306,81.04,1,1,0,25,7,WestIndies,2003,-,-,-,-,-,-,-,-,-,-,2,0,WI,Batsman
BC Lara,9,8,1,269,77,38.42,330,81.51,0,1,0,19,5,WestIndies,2007,-,-,-,-,-,-,-,-,-,-,5,0,WI,Batsman
BM McMillan,9,5,3,125,33*,62.50,154,81.16,0,0,0,4,0,SouthAfrica,1992,73.0,7,306,11,3/30,27.81,4.19,39.8,0,0,4,0,SA,All Rounder
BM McMillan,6,4,1,20,11,6.66,38,52.63,0,0,0,0,0,SouthAfrica,1996,43.0,5,127,6,3/11,21.16,2.95,43.0,0,0,4,0,SA,All Rounder
Moin Khan,10,5,2,44,20*,14.66,50,88.00,0,0,0,3,1,Pakistan,1992,-,-,-,-,-,-,-,-,-,-,11,3,PAK,Wicket Keeper
Moin Khan,10,9,2,242,63,34.57,219,110.50,0,1,0,20,6,Pakistan,1999,-,-,-,-,-,-,-,-,-,-,12,4,PAK,Wicket Keeper
Mushtaq Ahmed,9,4,1,27,17,9.00,56,48.21,0,0,0,1,0,Pakistan,1992,78.0,3,311,16,3/41,19.43,3.98,29.2,0,0,2,0,PAK,Bowler
Mushtaq Ahmed,6,1,0,0,0,0.00,2,0.00,0,0,1,0,0,Pakistan,1996,57.0,2,238,10,3/16,23.80,4.17,34.2,0,0,3,0,PAK,Bowler
J Srinath,8,6,5,34,11,34.00,28,121.42,0,0,0,1,0,India,1992,53.1,3,249,8,2/23,31.12,4.68,39.8,0,0,0,0,INDIA,Bowler
J Srinath,7,3,1,25,12*,12.50,22,113.63,0,0,0,4,0,India,1996,65.4,3,293,8,3/34,36.62,4.46,49.2,0,0,3,0,INDIA,Bowler
J Srinath,8,5,2,25,18,8.33,23,108.69,0,0,1,0,2,India,1999,73.2,11,313,12,3/37,26.08,4.26,36.6,0,0,0,0,INDIA,Bowler
J Srinath,11,4,1,1,1,0.33,7,14.28,0,0,2,0,0,India,2003,91.1,4,369,16,4/30,23.06,4.04,34.1,2,0,1,0,INDIA,Bowler
AJ Stewart,10,8,1,259,77,37.00,365,70.95,0,2,0,30,1,England,1992,-,-,-,-,-,-,-,-,-,-,8,1,ENG,Wicket Keeper
AJ Stewart,5,5,0,86,34,17.20,203,42.36,0,0,0,6,0,England,1996,-,-,-,-,-,-,-,-,-,-,0,0,ENG,Wicket Keeper
AJ Stewart,5,5,0,125,88,25.00,213,58.68,0,1,1,11,0,England,1999,-,-,-,-,-,-,-,-,-,-,7,0,ENG,Wicket Keeper
AJ Stewart,5,4,0,136,60,34.00,204,66.66,0,1,1,11,1,England,2003,-,-,-,-,-,-,-,-,-,-,6,1,ENG,Wicket Keeper
