Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country
AT Carey,2019-2019,10,9,3,375,85,62.50,360,104.16,0,3,0,46,2,Australia
GS Chappell,1975-1975,5,5,0,129,50,25.80,171,75.43,0,1,0,13,1,Australia
IM Chappell,1975-1975,5,5,0,121,62,24.20,212,57.07,0,1,0,12,0,Australia
TM Chappell,1983-1983,4,4,0,139,110,34.75,179,77.65,1,0,0,16,0,Australia
SR Clark,2007-2007,1,-,-,-,-,-,-,-,-,-,-,-,-,Australia
MJ Clarke,2007-2015,25,21,7,888,93*,63.42,943,94.16,0,8,0,85,11,Australia
GJ Cosier,1979-1979,3,2,0,6,6,3.00,21,28.57,0,0,1,0,0,Australia
NM Coulter-Nile,2019-2019,5,3,0,98,92,32.66,72,136.11,0,1,0,8,4,Australia
PJ Cummins,2015-2019,12,9,2,58,23*,8.28,98,59.18,0,0,1,4,0,Australia
AC Dale,1999-1999,2,1,1,3,3*,-,5,60.00,0,0,0,0,0,Australia
WM Darling,1979-1979,3,3,0,51,25,17.00,102,50.00,0,0,0,6,0,Australia
XJ Doherty,2015-2015,1,1,1,0,0*,-,1,0.00,0,0,0,0,0,Australia
GC Dyer,1987-1987,8,4,0,50,27,12.50,43,116.27,0,0,1,1,3,Australia
G Dymock,1979-1979,3,2,1,14,10,14.00,30,46.66,0,0,0,0,0,Australia
R Edwards,1975-1975,5,4,1,166,80*,55.33,208,79.80,0,2,1,14,0,Australia
JP Faulkner,2015-2015,6,4,1,44,21,14.66,25,176.00,0,0,1,6,2,Australia
AJ Finch,2015-2019,18,18,0,787,153,43.72,801,98.25,3,4,2,73,24,Australia
DW Fleming,1996-1999,16,4,2,12,8*,6.00,17,70.58,0,0,2,0,0,Australia
AC Gilchrist,1999-2007,31,31,1,1085,149,36.16,1107,98.01,1,8,1,141,19,Australia
JN Gillespie,2003-2003,4,1,1,6,6*,-,4,150.00,0,0,0,1,0,Australia
GJ Gilmour,1975-1975,2,2,1,42,28*,42.00,39,107.69,0,0,0,7,0,Australia
BJ Haddin,2011-2015,15,11,2,458,88,50.88,501,91.41,0,4,0,56,9,Australia
PSP Handscomb,2019-2019,1,1,0,4,4,4.00,12,33.33,0,0,0,0,0,Australia
IJ Harvey,2003-2003,6,5,2,66,28*,22.00,86,76.74,0,0,0,9,0,Australia
ML Hayden,2003-2007,22,21,2,987,158,51.94,1062,92.93,3,2,0,106,23,Australia
JR Hazlewood,2015-2015,5,-,-,-,-,-,-,-,-,-,-,-,-,Australia
IA Healy,1992-1996,14,11,2,110,31,12.22,124,88.70,0,0,1,6,1,Australia
AMJ Hilditch,1979-1979,3,3,0,143,72,47.66,267,53.55,0,1,0,9,0,Australia
BJ Hodge,2007-2007,5,2,0,152,123,76.00,117,129.91,1,0,0,11,7,Australia
TG Hogan,1983-1983,4,4,2,24,11,12.00,30,80.00,0,0,0,2,1,Australia
GB Hogg,2003-2007,21,9,4,87,40*,17.40,83,104.81,0,0,2,6,3,Australia
RM Hogg,1979-1983,8,5,4,29,19*,29.00,43,67.44,0,0,1,2,0,Australia
DW Hookes,1983-1983,6,6,0,133,56,22.16,194,68.55,0,1,0,10,2,Australia
KJ Hughes,1979-1983,8,8,1,218,69,31.14,379,57.51,0,2,1,18,2,Australia
MG Hughes,1992-1992,1,1,1,0,0*,-,4,0.00,0,0,0,0,0,Australia
AG Hurst,1979-1979,3,2,2,6,3*,-,12,50.00,0,0,0,0,0,Australia
DJ Hussey,2011-2011,4,2,1,52,38*,52.00,34,152.94,0,0,0,4,2,Australia
MEK Hussey,2007-2011,15,9,1,156,54,19.50,190,82.10,0,1,0,11,1,Australia
MG Johnson,2011-2015,15,8,5,56,27*,18.66,39,143.58,0,0,2,7,1,Australia
DM Jones,1987-1992,16,16,2,590,90,42.14,811,72.74,0,5,0,27,12,Australia
BP Julian,1999-1999,2,1,0,9,9,9.00,6,150.00,0,0,0,2,0,Australia
UT Khawaja,2019-2019,9,9,0,316,89,35.11,358,88.26,0,2,0,30,1,Australia
JJ Krejza,2011-2011,7,1,0,7,7,7.00,19,36.84,0,0,0,0,0,Australia
TJ Laughlin,1979-1979,1,1,0,8,8,8.00,22,36.36,0,0,0,0,0,Australia
SG Law,1996-1996,7,6,2,204,72,51.00,238,85.71,0,1,0,12,2,Australia
GF Lawson,1983-1983,4,4,0,24,16,6.00,35,68.57,0,0,1,2,0,Australia
B Lee,2003-2011,17,4,1,28,15*,9.33,43,65.11,0,0,0,1,2,Australia
S Lee,1996-1999,4,2,0,11,9,5.50,18,61.11,0,0,0,0,0,Australia
DS Lehmann,1999-2003,19,16,5,360,76,32.72,444,81.08,0,3,1,34,3,Australia
DK Lillee,1975-1983,9,3,1,19,16*,9.50,33,57.57,0,0,1,1,0,Australia
NM Lyon,2019-2019,4,3,2,8,5*,8.00,10,80.00,0,0,0,0,0,Australia
RB McCosker,1975-1975,5,5,0,120,73,24.00,264,45.45,0,1,1,5,0,Australia
CJ McDermott,1987-1996,17,11,0,43,14,3.90,58,74.13,0,0,2,2,1,Australia
GD McGrath,1996-2007,39,4,3,3,3*,3.00,5,60.00,0,0,1,0,0,Australia
KH MacLeay,1983-1983,4,4,0,19,9,4.75,28,67.85,0,0,0,1,1,Australia
JP Maher,2003-2003,2,2,0,35,26,17.50,60,58.33,0,0,0,5,0,Australia
AA Mallett,1975-1975,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Australia
GR Marsh,1987-1992,13,13,1,579,126*,48.25,987,58.66,2,2,0,43,5,Australia
MR Marsh,2015-2015,3,3,0,31,23,10.33,31,100.00,0,0,1,3,0,Australia
RW Marsh,1975-1983,11,11,4,220,52*,31.42,256,85.93,0,2,1,15,5,Australia
SE Marsh,2019-2019,2,2,0,26,23,13.00,35,74.28,0,0,0,2,0,Australia
DR Martyn,1999-2003,12,10,3,352,88*,50.28,440,80.00,0,4,2,22,1,Australia
GJ Maxwell,2015-2019,18,16,3,501,102,38.53,296,169.25,1,2,1,54,21,Australia
TBA May,1987-1987,6,3,1,16,15,8.00,13,123.07,0,0,0,1,0,Australia
TM Moody,1987-1999,18,16,5,329,57,29.90,449,73.27,0,3,1,25,3,Australia
JK Moss,1979-1979,1,1,0,7,7,7.00,16,43.75,0,0,0,0,0,Australia
SP O'Donnell,1987-1987,7,4,0,15,7,3.75,33,45.45,0,0,1,0,0,Australia
RT Ponting,1996-2011,46,42,4,1743,140*,45.86,2180,79.95,5,6,1,145,31,Australia
GD Porter,1979-1979,2,1,0,3,3,3.00,9,33.33,0,0,0,0,0,Australia
BA Reid,1987-1992,14,5,2,10,5*,3.33,41,24.39,0,0,0,0,0,Australia
PR Reiffel,1996-1999,11,6,3,28,13*,9.33,42,66.66,0,0,1,0,0,Australia
KW Richardson,2019-2019,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,Australia
SPD Smith,2011-2019,24,20,2,834,105,46.33,931,89.58,1,8,0,74,7,Australia
MA Starc,2015-2019,18,11,3,68,29,8.50,79,86.07,0,0,3,3,2,Australia
MP Stoinis,2019-2019,8,7,1,87,22,14.50,113,76.99,0,0,2,14,0,Australia
A Symonds,2003-2007,18,13,8,515,143*,103.00,552,93.29,1,3,1,51,10,Australia
SW Tait,2007-2011,18,1,1,0,0*,-,1,0.00,0,0,0,0,0,Australia
