Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role
Shakib Al Hasan,2007-2019,29,29,4,1146,124*,45.84,1393,82.26,2,10,1,107,8,Bangladesh,238.5,2,1222,34,5/29,35.94,5.11,42.1,1,1,8,0,4,All Rounder
IR Bell,2007-2015,21,21,1,718,81,35.9,995,72.16,0,6,1,62,2,England,-,-,-,-,-,-,-,-,-,-,4,0,3,Batsman
JC Buttler,2015-2019,17,14,1,453,103,34.84,358,126.53,1,3,0,39,10,England,-,-,-,-,-,-,-,-,-,-,20,2,2,Wicket Keeper
PD Collingwood,2003-2011,18,18,6,474,90,39.5,604,78.47,0,3,0,37,6,England,85,0,423,8,2/33,52.87,4.97,63.7,0,0,13,0,3,All Rounder
PAJ DeFreitas,1987-1996,22,13,3,184,67,18.4,186,98.92,0,1,1,15,4,England,187.5,30,742,29,3/28,25.58,3.95,38.8,0,0,5,0,3,All Rounder
A Flintoff,1999-2007,18,14,0,263,64,18.78,387,67.95,0,1,3,21,8,England,135.4,12,534,23,4/43,23.21,3.93,35.3,1,0,6,0,3,All Rounder
GA Gooch,1979-1992,21,21,1,897,115,44.85,1418,63.25,1,8,1,80,4,England,23,2,115,1,1/42,115,5,138,0,0,3,0,4,Batsman
D Gough,1996-1999,11,6,2,95,26*,23.75,129,73.64,0,0,0,10,0,England,99.4,8,430,15,4/34,28.66,4.31,39.8,1,0,2,0,2,Bowler
GA Hick,1992-1999,20,19,4,635,104*,42.33,858,74,1,6,2,53,6,England,37.2,0,208,5,2/44,41.6,5.57,44.8,0,0,12,0,3,Batsman
RK Illingworth,1992-1996,10,5,3,31,14,15.5,37,83.78,0,0,0,2,0,England,98.1,6,424,12,3/33,35.33,4.31,49,0,0,3,0,2,Bowler
AJ Lamb,1983-1992,19,17,4,656,102,50.46,780,84.1,1,3,0,52,8,England,1,0,3,0,-,-,3,-,0,0,9,0,3,Batsman
KP Pietersen,2007-2011,13,13,1,575,104,47.91,684,84.06,2,4,0,53,7,England,11,0,51,0,-,-,4.63,-,0,0,3,0,2,Batsman
LE Plunkett,2007-2019,10,7,5,93,29*,46.5,78,119.23,0,0,0,8,2,England,79,0,432,15,3/42,28.8,5.46,31.6,0,0,2,0,4,Bowler
DA Reeve,1992-1996,11,7,3,117,35,29.25,135,86.66,0,0,0,7,0,England,45.2,5,177,9,3/38,19.66,3.9,30.2,0,0,5,0,2,All Rounder
JE Root,2015-2019,17,16,2,758,121,54.14,861,88.03,3,3,0,67,4,England,19,0,111,3,2/27,37,5.84,38,0,0,20,0,2,Batsman
GC Small,1987-1992,13,4,1,8,5,2.66,23,34.78,0,0,2,0,0,England,103,5,458,11,2/29,41.63,4.44,56.1,0,0,0,0,2,Bowler
AJ Stewart,1992-2003,25,22,1,606,88,28.85,985,61.52,0,4,2,58,2,England,-,-,-,-,-,-,-,-,-,-,21,2,4,Wicket Keeper
AJ Strauss,2007-2011,11,11,0,417,158,37.9,483,86.33,1,1,1,39,5,England,-,-,-,-,-,-,-,-,-,-,3,0,2,Batsman
GP Thorpe,1996-1999,11,10,3,379,89,54.14,514,73.73,0,3,0,35,1,England,8,0,45,0,-,-,5.62,-,0,0,11,0,2,Batsman
C White,1996-2003,7,5,1,92,35,23,93,98.92,0,0,0,6,1,England,51.3,6,202,9,3/33,22.44,3.92,34.3,0,0,1,0,3,Bowler
CR Woakes,2015-2019,16,15,4,224,42*,20.36,243,92.18,0,0,0,15,3,England,122.4,7,680,21,3/20,32.38,5.54,35,0,0,9,0,2,All Rounder
DT Johnston,2007-2011,13,12,3,171,30,19,190,90,0,0,1,12,6,Ireland,93.4,5,498,16,2/16,31.12,5.31,35.1,0,0,8,0,2,All Rounder
EC Joyce,2011-2015,12,12,0,422,112,35.16,514,82.1,1,2,1,41,5,Ireland,-,-,-,-,-,-,-,-,-,-,3,0,2,Batsman
KJ O'Brien,2007-2015,20,20,2,499,113,27.72,552,90.39,1,1,1,48,17,Ireland,84.5,1,623,13,4/71,47.92,7.34,39.1,1,0,7,0,3,All Rounder
WTS Porterfield,2007-2015,21,21,0,627,107,29.85,1058,59.26,1,4,3,50,4,Ireland,-,-,-,-,-,-,-,-,-,-,14,0,3,Batsman
WB Rankin,2007-2011,15,8,6,24,7*,12,70,34.28,0,0,1,1,0,Ireland,114.2,6,639,15,3/32,42.6,5.58,45.7,0,0,2,0,2,Bowler
RN ten Doeschate,2007-2011,9,9,2,435,119,62.14,492,88.41,2,3,0,47,7,Netherlands,72,2,473,9,3/72,52.55,6.56,48,0,0,4,0,2,All Rounder
SE Bond,2003-2007,16,5,3,7,3,3.5,25,28,0,0,0,0,0,NewZealand,147.4,21,518,30,6/23,17.26,3.5,29.5,0,1,6,0,2,Bowler
TA Boult,2015-2019,19,6,5,10,4,10,22,45.45,0,0,0,1,0,NewZealand,184,18,850,39,5/27,21.79,4.61,28.3,3,1,8,0,2,Bowler
CL Cairns,1992-2003,28,24,7,565,60,33.23,684,82.6,0,3,1,41,16,NewZealand,146.4,9,755,18,3/19,41.94,5.14,48.8,0,0,16,0,4,All Rounder
MD Crowe,1983-1992,21,21,5,880,100*,55,1053,83.57,1,8,1,82,7,NewZealand,18,2,116,1,1/15,116,6.44,108,0,0,8,0,3,Batsman
SP Fleming,1996-2007,33,33,3,1075,134*,35.83,1398,76.89,2,5,2,134,11,NewZealand,2,0,8,1,1/8,8,4,12,0,0,12,0,4,Batsman
JEC Franklin,2007-2011,15,9,5,147,34*,36.75,138,106.52,0,0,1,9,5,NewZealand,79.2,7,410,11,3/74,37.27,5.16,43.2,0,0,4,0,2,All Rounder
MJ Guptill,2011-2019,27,27,4,995,237*,43.26,1126,88.36,2,4,2,108,24,NewZealand,-,-,-,-,-,-,-,-,-,-,13,0,3,Batsman
CZ Harris,1992-2003,28,20,5,431,130,28.73,626,68.84,1,0,0,30,4,NewZealand,194.2,10,861,32,4/7,26.9,4.43,36.4,1,0,7,0,4,All Rounder
MJ Henry,2015-2019,11,6,1,18,7,3.6,32,56.25,0,0,1,2,0,NewZealand,97.3,7,478,16,4/47,29.87,4.9,36.5,1,0,3,0,2,Bowler
AH Jones,1987-1992,13,13,2,416,78,37.81,673,61.81,0,4,1,44,0,NewZealand,12,0,52,2,2/42,26,4.33,36,0,0,3,0,2,Batsman
GR Larsen,1992-1999,19,6,3,76,37,25.33,128,59.37,0,0,0,7,0,NewZealand,170,12,599,18,3/16,33.27,3.52,56.6,0,0,7,0,3,Bowler
DJ Nash,1996-1999,13,6,3,50,21*,16.66,98,51.02,0,0,0,2,0,NewZealand,116,15,473,9,3/26,52.55,4.07,77.3,0,0,3,0,2,Bowler
JDP Oram,2003-2011,23,14,3,259,63*,23.54,360,71.94,0,1,1,11,8,NewZealand,182.2,21,768,36,4/39,21.33,4.21,30.3,2,0,13,0,3,All Rounder
KR Rutherford,1987-1992,14,12,2,416,75,41.6,587,70.86,0,4,0,36,7,NewZealand,1.4,0,11,0,-,-,6.6,-,0,0,5,0,2,Batsman
TG Southee,2011-2019,18,7,2,44,12*,8.8,55,80,0,0,2,2,2,NewZealand,162.2,16,854,34,7/33,25.11,5.26,28.6,0,1,3,0,3,Bowler
SB Styris,2003-2011,26,22,5,909,141,53.47,1026,88.59,2,6,1,69,17,NewZealand,120.2,3,552,17,4/43,32.47,4.58,42.4,1,0,13,0,3,All Rounder
LRPL Taylor,2007-2019,33,30,3,1002,131*,37.11,1354,74,1,6,2,76,17,NewZealand,-,-,-,-,-,-,-,-,-,-,11,0,4,Batsman
RG Twose,1996-1999,15,15,5,493,92,49.3,663,74.35,0,4,1,41,4,NewZealand,13,0,77,0,-,-,5.92,-,0,0,5,0,2,Batsman
DL Vettori,2003-2015,32,17,6,167,44,15.18,199,83.91,0,0,1,20,1,NewZealand,281.3,12,1168,36,4/18,32.44,4.14,46.9,2,0,9,0,4,Bowler
W Watson,1987-1992,14,5,4,29,12*,29,52,55.76,0,0,0,1,0,NewZealand,132,14,571,19,3/37,30.05,4.32,41.6,0,0,2,0,2,Bowler
KS Williamson,2011-2019,23,22,6,911,148,56.93,1163,78.33,2,3,0,86,6,NewZealand,22,0,106,2,1/25,53,4.81,66,0,0,9,0,3,Batsman
