Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role,mean_rating,median_rating
GA Gooch,1979-1992,21,21,1,897,115,44.85,1418,63.25,1,8,1,80,4,England,23,2,115,1,1/42,115,5,138,0,0,3,0,4,Batsman,41.66666666666666,41.66666666666666
GA Hick,1992-1999,20,19,4,635,104*,42.33,858,74.0,1,6,2,53,6,England,37.2,0,208,5,2/44,41.6,5.57,44.8,0,0,12,0,3,Batsman,66.30718954248367,70.58823529411767
KP Pietersen,2007-2011,13,13,1,575,104,47.91,684,84.06,2,4,0,53,7,England,11,0,51,0,-,-,4.63,-,0,0,3,0,2,Batsman,53.96825396825397,53.96825396825397
GP Thorpe,1996-1999,11,10,3,379,89,54.14,514,73.73,0,3,0,35,1,England,8,0,45,0,-,-,5.62,-,0,0,11,0,2,Batsman,69.11764705882354,69.11764705882354
EC Joyce,2011-2015,12,12,0,422,112,35.16,514,82.1,1,2,1,41,5,Ireland,-,-,-,-,-,-,-,-,-,-,3,0,2,Batsman,72.30576441102757,72.30576441102757
WTS Porterfield,2007-2015,21,21,0,627,107,29.85,1058,59.26,1,4,3,50,4,Ireland,-,-,-,-,-,-,-,-,-,-,14,0,3,Batsman,70.78808131439709,71.42857142857143
MD Crowe,1983-1992,21,21,5,880,100*,55,1053,83.57,1,8,1,82,7,NewZealand,18,2,116,1,1/15,116,6.44,108,0,0,8,0,3,Batsman,38.333333333333336,38.333333333333336
SP Fleming,1996-2007,33,33,3,1075,134*,35.83,1398,76.89,2,5,2,134,11,NewZealand,2,0,8,1,1/8,8,4,12,0,0,12,0,4,Batsman,58.45588235294117,54.411764705882355
MJ Guptill,2011-2019,27,27,4,995,237*,43.26,1126,88.36,2,4,2,108,24,NewZealand,-,-,-,-,-,-,-,-,-,-,13,0,3,Batsman,46.04010025062657,42.857142857142854
KR Rutherford,1987-1992,14,12,2,416,75,41.6,587,70.86,0,4,0,36,7,NewZealand,1.4,0,11,0,-,-,6.6,-,0,0,5,0,2,Batsman,85.0,85.0
LRPL Taylor,2007-2019,33,30,3,1002,131*,37.11,1354,74.0,1,6,2,76,17,NewZealand,-,-,-,-,-,-,-,-,-,-,11,0,4,Batsman,65.41144527986633,74.47368421052632
KS Williamson,2011-2019,23,22,6,911,148,56.93,1163,78.33,2,3,0,86,6,NewZealand,22,0,106,2,1/25,53,4.81,66,0,0,9,0,3,Batsman,64.72013366750208,73.68421052631578
Javed Miandad,1975-1996,33,30,5,1083,103,43.32,1592,68.02,1,8,2,72,3,Pakistan,22,2,73,4,2/22,18.25,3.31,33,0,0,10,1,6,Batsman,47.77777777777778,30.0
Misbah-ul-Haq,2011-2015,15,13,1,598,83*,49.83,802,74.56,0,7,1,38,10,Pakistan,-,-,-,-,-,-,-,-,-,-,6,0,2,Batsman,36.967418546365906,36.967418546365906
Saeed Anwar,1996-2003,21,21,4,915,113*,53.82,1157,79.08,3,3,0,90,6,Pakistan,4,0,15,1,1/15,15,3.75,24,0,0,3,0,3,Batsman,37.132352941176464,25.0
HM Amla,2011-2019,22,22,2,842,159,42.1,1012,83.2,2,5,0,76,6,SouthAfrica,-,-,-,-,-,-,-,-,-,-,11,0,3,Batsman,48.471177944862156,36.84210526315789
DJ Cullinan,1996-1999,15,15,3,471,69,39.25,696,67.67,0,3,1,37,6,SouthAfrica,2,0,7,0,-,-,3.5,-,0,0,11,0,2,Batsman,48.345588235294116,48.345588235294116
AB de Villiers,2007-2015,23,22,3,1207,162*,63.52,1029,117.29,4,6,4,121,37,SouthAfrica,14,0,86,4,2/15,21.5,6.14,21,0,0,12,0,3,Batsman,24.67279309384573,19.047619047619047
HH Gibbs,1999-2007,25,23,4,1067,143,56.15,1221,87.38,2,8,1,106,28,SouthAfrica,-,-,-,-,-,-,-,-,-,-,10,0,3,Batsman,34.57244008714597,29.411764705882355
