Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year
CL Cairns,6,6,0,139,52,23.16,150,92.66,0,1,0,11,5,NewZealand,1996
Saleem Raza,4,4,0,137,84,34.25,136,100.73,0,1,0,12,8,UnitedArabEmirates,1996
Saleem Malik,6,3,1,133,55*,66.50,163,81.59,0,1,0,12,0,Pakistan,1996
HP Tillakaratne,6,5,3,128,70*,64.00,208,61.53,0,1,1,9,0,SriLanka,1996
MG Bevan,7,5,1,125,69,31.25,179,69.83,0,1,0,6,1,Australia,1996
GJAF Aponso,5,4,0,120,58,30.00,247,48.58,0,1,0,11,1,Netherlands,1996
MA Atherton,6,6,0,119,66,19.83,175,68.00,0,1,1,9,0,England,1996
ADR Campbell,6,6,0,114,75,19.00,202,56.43,0,1,2,14,0,Zimbabwe,1996
MO Odumbe,6,5,0,112,50,22.40,206,54.36,0,1,1,8,0,Kenya,1996
NJ Astle,6,6,0,111,101,18.50,166,66.86,1,0,1,9,2,NewZealand,1996
R Dravid,8,8,1,461,145,65.85,539,85.52,2,3,0,49,1,India,1999
SR Waugh,10,8,3,398,120*,79.60,512,77.73,1,2,0,35,6,Australia,1999
SC Ganguly,7,7,0,379,183,54.14,467,81.15,1,1,0,39,8,India,1999
ME Waugh,10,10,1,375,104,41.66,492,76.21,1,2,1,39,1,Australia,1999
Saeed Anwar,10,10,1,368,113*,40.88,511,72.01,2,0,0,42,0,Pakistan,1999
NC Johnson,8,8,1,367,132*,52.42,496,73.99,1,3,0,43,4,Zimbabwe,1999
RT Ponting,10,10,1,354,69,39.33,532,66.54,0,1,0,32,5,Australia,1999
HH Gibbs,9,9,0,341,101,37.88,467,73.01,1,2,1,34,4,SouthAfrica,1999
RG Twose,9,9,5,318,80*,79.50,426,74.64,0,3,1,29,4,NewZealand,1999
JH Kallis,8,8,2,312,96,52.00,470,66.38,0,4,2,18,4,SouthAfrica,1999
A Jadeja,8,7,1,285,100*,47.50,379,75.19,1,1,0,23,4,India,1999
L Klusener,9,8,6,281,52*,140.50,230,122.17,0,2,0,26,10,SouthAfrica,1999
MG Bevan,10,8,3,264,65,52.80,391,67.51,0,2,0,18,2,Australia,1999
Inzamam-ul-Haq,10,9,1,254,81,31.75,409,62.10,0,2,1,15,1,Pakistan,1999
SR Tendulkar,7,7,1,253,140*,42.16,281,90.03,1,0,1,30,3,India,1999
Moin Khan,10,9,2,242,63,34.57,219,110.50,0,1,0,20,6,Pakistan,1999
G Kirsten,9,9,0,229,82,25.44,417,54.91,0,1,1,22,1,SouthAfrica,1999
AC Gilchrist,10,10,0,224,63,22.40,284,78.87,0,2,1,27,2,Australia,1999
GM Hamilton,5,5,1,217,76,54.25,316,68.67,0,2,0,15,4,Scotland,1999
DJ Cullinan,9,9,1,216,50,27.00,391,55.24,0,1,1,21,3,SouthAfrica,1999
SP Fleming,9,9,1,208,69,26.00,338,61.53,0,1,1,23,0,NewZealand,1999
RD Jacobs,5,4,2,205,80*,102.50,408,50.24,0,2,0,18,3,WestIndies,1999
MW Goodwin,8,8,0,201,57,25.12,315,63.80,0,1,0,25,0,Zimbabwe,1999
MJ Horne,8,8,0,199,74,24.87,354,56.21,0,1,0,29,0,NewZealand,1999
