Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year
O Henry,1,1,0,11,11,11.00,13,84.61,0,0,0,1,0,SouthAfrica,1992
GA Hick,10,9,1,264,83,33.00,334,79.04,0,3,1,24,2,England,1992
CL Hooper,8,7,1,120,63,20.00,180,66.66,0,1,1,9,1,WestIndies,1992
DL Houghton,8,7,0,165,55,23.57,340,48.52,0,1,0,11,0,Zimbabwe,1992
AC Hudson,8,8,0,296,79,37.00,467,63.38,0,3,0,32,0,SouthAfrica,1992
MG Hughes,1,1,1,0,0*,-,4,0.00,0,0,0,0,0,Australia,1992
Ijaz Ahmed,7,4,1,14,8*,4.66,26,53.84,0,0,2,2,0,Pakistan,1992
RK Illingworth,6,3,1,27,14,13.50,32,84.37,0,0,0,2,0,England,1992
Imran Khan,8,6,0,185,72,30.83,351,52.70,0,1,1,13,4,Pakistan,1992
Inzamam-ul-Haq,10,10,0,225,60,22.50,240,93.75,0,1,1,17,1,Pakistan,1992
Iqbal Sikander,4,1,1,1,1*,-,3,33.33,0,0,0,0,0,Pakistan,1992
A Jadeja,6,5,1,93,46,23.25,180,51.66,0,0,0,5,0,India,1992
WR James,4,3,0,35,17,11.66,79,44.30,0,0,0,4,0,Zimbabwe,1992
MP Jarvis,5,3,1,28,17,14.00,31,90.32,0,0,0,2,1,Zimbabwe,1992
Javed Miandad,9,9,2,437,89,62.42,698,62.60,0,5,0,27,0,Pakistan,1992
ST Jayasuriya,6,5,0,74,32,14.80,82,90.24,0,0,0,5,2,SriLanka,1992
AH Jones,9,9,2,322,78,46.00,523,61.56,0,3,0,41,0,NewZealand,1992
DM Jones,8,8,1,276,90,39.42,407,67.81,0,2,0,18,3,Australia,1992
RS Kalpage,7,6,2,67,14,16.75,111,60.36,0,0,0,2,0,SriLanka,1992
VG Kambli,5,4,0,29,24,7.25,57,50.87,0,0,0,0,0,India,1992
N Kapil Dev,8,8,1,161,42,23.00,128,125.78,0,0,0,15,3,India,1992
PN Kirsten,8,8,2,410,90,68.33,616,66.55,0,4,0,28,2,SouthAfrica,1992
AP Kuiper,9,8,1,113,36,16.14,158,71.51,0,0,0,9,1,SouthAfrica,1992
GF Labrooy,1,1,0,19,19,19.00,34,55.88,0,0,0,1,0,SriLanka,1992
AJ Lamb,4,4,0,79,31,19.75,118,66.94,0,0,0,5,0,England,1992
BC Lara,8,8,1,333,88*,47.57,408,81.61,0,4,1,34+,1+,WestIndies,1992
GR Larsen,9,2,1,45,37,45.00,86,52.32,0,0,0,4,0,NewZealand,1992
RT Latham,7,7,0,136,60,19.42,218,62.38,0,1,0,17,0,NewZealand,1992
CC Lewis,9,6,2,81,33,20.25,52,155.76,0,0,2,8,2,England,1992
AL Logie,8,7,0,101,61,14.42,133,75.93,0,1,1,10,2,WestIndies,1992
